obs,time,deployment,conductivity,ctd_time,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temperature,ctdmo_seawater_pressure,ctdmo_seawater_temperature,ctdmo_seawater_conductivity,practical_salinity,density,ctdmo_seawater_pressure_qc_executed,ctdmo_seawater_pressure_qc_results,ctdmo_seawater_temperature_qc_executed,ctdmo_seawater_temperature_qc_results,ctdmo_seawater_conductivity_qc_executed,ctdmo_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3682522351.0,3,378011,526848751,3718311390.91,3718311390.97,3682522351.0,0.0,internal_timestamp,26650,136046,1494.99083927,3.6046,3.28011,34.9321514197,1034.64266631,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
1,3682522801.0,3,378020,526849201,3718311390.91,3718311390.97,3682522801.0,0.0,internal_timestamp,26639,136035,1494.30175097,3.6035,3.2802,34.9347216362,1034.64171872,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
2,3682523251.0,3,378020,526849651,3718311390.91,3718311390.97,3682523251.0,0.0,internal_timestamp,26613,136061,1492.67299682,3.6061,3.2802,34.932781619,1034.63247634,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
3,3682523701.0,3,378002,526850101,3718311390.91,3718311390.97,3682523701.0,0.0,internal_timestamp,26601,136036,1491.92126413,3.6036,3.28002,34.9336601958,1034.63010797,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
4,3682524151.0,3,378006,526850551,3718311390.91,3718311390.97,3682524151.0,0.0,internal_timestamp,26588,136040,1491.10688706,3.604,3.28006,34.9341152344,1034.6267283,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
5,3682524601.0,3,377995,526851001,3718311390.91,3718311390.97,3682524601.0,0.0,internal_timestamp,26552,136045,1488.851689,3.6045,3.27995,34.9333995091,1034.61590035,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
6,3682525051.0,3,378005,526851451,3718311390.91,3718311390.97,3682525051.0,0.0,internal_timestamp,26592,136040,1491.35746462,3.604,3.28005,34.9338725735,1034.62767083,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
7,3682525501.0,3,377993,526851901,3718311390.91,3718311390.97,3682525501.0,0.0,internal_timestamp,26613,136019,1492.67299682,3.6019,3.27993,34.9340165284,1034.63401866,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
8,3682525951.0,3,378019,526852351,3718311390.91,3718311390.97,3682525951.0,0.0,internal_timestamp,26587,136055,1491.04424267,3.6055,3.28019,34.934103255,1034.62623114,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
9,3682526401.0,3,378021,526852801,3718311390.91,3718311390.97,3682526401.0,0.0,internal_timestamp,26570,136065,1489.97928803,3.6065,3.28021,34.9338114311,1034.62105014,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
10,3682526851.0,3,378024,526853251,3718311390.91,3718311390.97,3682526851.0,0.0,internal_timestamp,26547,136081,1488.53846705,3.6081,3.28024,34.9331905777,1034.61382928,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
11,3682527301.0,3,378037,526853701,3718311390.94,3718311390.98,3682527301.0,0.0,internal_timestamp,26551,136106,1488.78904461,3.6106,3.28037,34.9319672451,1034.61366103,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
12,3682527751.0,3,378119,526854151,3718311390.94,3718311390.99,3682527751.0,0.0,internal_timestamp,26550,136174,1488.72640022,3.6174,3.28119,34.9345374348,1034.61446856,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
13,3682528201.0,3,378136,526854601,3718311390.94,3718311390.99,3682528201.0,0.0,internal_timestamp,26521,136193,1486.90971289,3.6193,3.28136,34.9354453802,1034.60670765,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
14,3682528651.0,3,378141,526855051,3718311390.94,3718311390.99,3682528651.0,0.0,internal_timestamp,26547,136189,1488.53846705,3.6189,3.28141,34.9356540951,1034.61429094,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
15,3682529101.0,3,378145,526855501,3718311390.94,3718311390.99,3682529101.0,0.0,internal_timestamp,26543,136200,1488.28788948,3.62,3.28145,34.9350905296,1034.61256534,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
16,3682529551.0,3,378031,526855951,3718311390.94,3718311390.99,3682529551.0,0.0,internal_timestamp,26528,136071,1487.34822363,3.6071,3.28031,34.9356664088,1034.6105273,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
17,3682530001.0,3,378095,526856401,3718311390.94,3718311390.99,3682530001.0,0.0,internal_timestamp,26513,136147,1486.40855777,3.6147,3.28095,34.9356918126,1034.6052622,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
18,3682530451.0,3,378092,526856851,3718311390.94,3718311390.99,3682530451.0,0.0,internal_timestamp,26533,136136,1487.66144558,3.6136,3.28092,34.9358775862,1034.61122353,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
19,3682530901.0,3,378076,526857301,3718311390.94,3718311390.99,3682530901.0,0.0,internal_timestamp,26559,136134,1489.29019973,3.6134,3.28076,34.933385474,1034.61665897,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
20,3682531351.0,3,378096,526857751,3718311390.93,3718311390.97,3682531351.0,0.0,internal_timestamp,26532,136147,1487.59880119,3.6147,3.28096,34.9352209354,1034.61027467,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
21,3682531801.0,3,378179,526858201,3718311390.93,3718311390.97,3682531801.0,0.0,internal_timestamp,26520,136226,1486.8470685,3.6226,3.28179,34.9370879536,1034.60726398,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
22,3682532251.0,3,378188,526858651,3718311390.93,3718311390.97,3682532251.0,0.0,internal_timestamp,26477,136253,1484.15335971,3.6253,3.28188,34.9366368988,1034.59436097,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
23,3682532701.0,3,378175,526859101,3718311390.93,3718311390.97,3682532701.0,0.0,internal_timestamp,26562,136210,1489.4781329,3.621,3.28175,34.9370010884,1034.61931085,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
24,3682533151.0,3,378227,526859551,3718311390.93,3718311390.97,3682533151.0,0.0,internal_timestamp,26557,136267,1489.16491095,3.6267,3.28227,34.9372993798,1034.61735081,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
25,3682533601.0,3,378221,526860001,3718311390.93,3718311390.97,3682533601.0,0.0,internal_timestamp,26530,136270,1487.47351241,3.627,3.28221,34.9371087409,1034.60951249,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
26,3682534051.0,3,378219,526860451,3718311390.93,3718311390.97,3682534051.0,0.0,internal_timestamp,26497,136285,1485.40624752,3.6285,3.28219,34.9363110517,1034.59933396,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
27,3682534501.0,3,378244,526860901,3718311390.93,3718311390.97,3682534501.0,0.0,internal_timestamp,26505,136304,1485.90740265,3.6304,3.28244,34.9370191516,1034.60189674,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
28,3682534951.0,3,378280,526861351,3718311390.93,3718311390.97,3682534951.0,0.0,internal_timestamp,26483,136351,1484.52922605,3.6351,3.2828,34.9370041357,1034.59501179,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
29,3682535401.0,3,378281,526861801,3718311390.93,3718311390.98,3682535401.0,0.0,internal_timestamp,26495,136346,1485.28095874,3.6346,3.28281,34.9372784817,1034.59869452,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
30,3682535851.0,3,378262,526862251,3718311390.93,3718311390.98,3682535851.0,0.0,internal_timestamp,26507,136328,1486.03269143,3.6328,3.28262,34.9365557224,1034.6017718,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
31,3682536301.0,3,378236,526862701,3718311390.93,3718311390.98,3682536301.0,0.0,internal_timestamp,26519,136292,1486.78442411,3.6292,3.28236,34.9369041853,1034.60593583,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
32,3682536751.0,3,378234,526863151,3718311390.93,3718311390.98,3682536751.0,0.0,internal_timestamp,26564,136277,1489.60342169,3.6277,3.28234,34.9368558524,1034.61884873,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
33,3682537201.0,3,378210,526863601,3718311390.93,3718311390.98,3682537201.0,0.0,internal_timestamp,26555,136252,1489.03962217,3.6252,3.2821,34.936930764,1034.61669967,29,29,29,29,29,13,29,29,29,29,59.9341,-39.4673
